  crystalhd              Decodificador de vídeo por hardware Crystal HD
  cdg                    Decodificador de vídeo CDG
  cc                     Decodificador de subtítulos
  avcodec                Decodificador de audio/vídeo FFmpeg
  avcodec                Empaquetador avparser
  avcodec                Salida de acceso libavformat AVIO
  avcodec                acceso libavformat AVIO
  avcodec                Muxor Avformat
  avcodec                Demuxor Avformat
  avcodec                Codificador de audio/vídeo FFmpeg
  avcodec                Decodificador de audio/vídeo FFmpeg
  avcodec                Decodificador de audio/vídeo FFmpeg
  avcodec                Decodificador de audio/vídeo FFmpeg
  aribsub                Decodificador de subtítulos ARIB
  araw                   Decodificador Raw/Log Audio
  araw                   Codificador de audio en bruto
  aom                    Decodificador de vídeo AOM
  aes3                   Decodificador de audio AES3/SMPTE 302M
  aes3                   Empaquetador de audio AES3/SMPTE 302M
  adpcm                  Decodificador de audio ADPCM
  waveout                Salida de audio WaveOut
  wasapi                 Salida de Windows Audio Session API
  mmdevice               Salida de dispositivo multimedia Windows
  directsound            Salida de audio DirectX
  directsound            Salida de audio DirectX
  amem                   Salida de memoria de audio
  afile                  Archivo de salida de audio
  adummy                 Salida de audio simulado
  integer_mixer          Entero de volumen de audio
  float_mixer            Precisión simple de volumen de audio
  ugly                   Remuestreador de audio de vecimo más proximo
  ugly                   Remuestreador de audio de vecimo más proximo
  trivial                Filtro de audio para mezcla de canal trivial
  tospdif                Filtro de audio para encapsulación A/52->S/PDIF
  stereo_widen           Ampliación simple de efecto de estéreo
  speex_resampler        Codificador speex
  speex_resampler        Codificador speex
  spatializer            Espacializador de audio
  spatialaudio           Generador «ambisonics» y «binauralizer».
  spatialaudio           Generador «ambisonics» y «binauralizer».
  simple_channel_mixer   Filtro de audio para mezcla simple de canal
  scaletempo             Escala de tempo de audio en sincronía con tasa de reproducción
  scaletempo_pitch       Cambiador de tono
  samplerate             Remuestreador de «Secret Rabbit Code» (libsamplerate)
  samplerate             Remuestreador de «Secret Rabbit Code» (libsamplerate)
  remap                  Reconfigurador de canal de audio
  param_eq               Ecualizador paramétrico
  normvol                Normalizador de volumen
  mono                   Mezclador de estéreo a mono
  mad                    Decodificador de capa de audio MPEG I/II/III
  karaoke                Filtro simple de Karaoke
  headphone              Efecto de espacialización virtual de auriculares
  gain                   Filtro de control de ganancia
  equalizer              Ecualizador con 10 bandas
  dolby                  Decodificador simple p
